City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
akhmim,26.5622,31.745,75.2,17,0,11.5,EG,1619411363
akita,39.7167,140.1167,48.2,40,20,20.71,JP,1619411140
alghero,40.5589,8.3181,51.8,93,40,1.14,IT,1619411363
anshun,26.25,105.9333,59.49,74,98,4.88,CN,1619411204
aragats,40.4889,44.3528,64.4,52,20,2.3,AM,1619411363
atyrau,47.1167,51.8833,51.8,76,40,22.37,KZ,1619411363
aykhal,66.0,111.5,11.75,90,100,30.53,RU,1619411363
bandarbeyla,9.4942,50.8122,82.71,68,86,5.79,SO,1619411364
bansi,27.1833,82.9333,96.64,11,0,6.98,IN,1619411364
batagay,67.6333,134.6333,32.23,98,100,6.51,RU,1619411365
batagay-alyta,67.8006,130.4114,30.07,89,100,4.16,RU,1619411365
belyy yar,53.6039,91.3903,51.8,28,0,4.47,RU,1619411366
berdigestyakh,62.0989,126.6992,33.94,99,100,7.11,RU,1619411366
berlevag,70.8578,29.0864,33.8,86,75,8.05,NO,1619411366
bhag,29.0415,67.8239,93.2,14,2,2.82,PK,1619411366
bichura,50.5881,107.6022,35.83,85,100,17.65,RU,1619411366
bilma,18.6853,12.9164,84.6,13,5,8.1,NE,1619411366
binzhou,37.3667,118.0167,48.38,87,100,2.71,CN,1619411366
bollnas,61.3482,16.3946,32.0,59,73,1.01,SE,1619411366
bud,62.9088,6.9145,32.0,86,10,5.75,NO,1619411367
butaritari,3.0707,172.7902,83.17,73,16,11.52,KI,1619411367
buturlino,55.5667,44.8974,37.33,68,7,18.7,RU,1619411367
chernyshevskiy,63.0128,112.4714,22.28,66,94,12.97,RU,1619411368
cherskiy,68.75,161.3,22.69,72,91,6.46,RU,1619411368
chokurdakh,70.6333,147.9167,30.9,98,100,10.63,RU,1619411368
daman,20.4167,72.85,88.59,58,8,3.38,IN,1619411368
dandong,40.1292,124.3947,67.24,29,100,13.56,CN,1619411368
deputatskiy,69.3,139.9,28.2,81,74,3.71,RU,1619411368
dharchula,29.85,80.5333,80.38,17,0,4.68,IN,1619411369
do gonbadan,30.3586,50.7981,78.8,24,0,3.15,IR,1619411369
dongying,37.4564,118.4856,48.61,77,100,2.86,CN,1619411276
dustlik,40.5247,68.0358,69.13,31,1,3.42,UZ,1619411369
erenhot,43.6475,111.9767,50.59,10,22,36.69,CN,1619411270
floro,61.5996,5.0328,35.6,64,7,8.05,NO,1619411370
gazanjyk,39.2446,55.5154,78.06,32,2,5.48,TM,1619411370
ha tinh,18.3333,105.9,85.46,73,94,4.83,VN,1619411214
hasaki,35.7333,140.8333,66.0,26,20,10.36,JP,1619411370
havoysund,70.9963,24.6622,32.0,86,75,5.75,NO,1619411370
heiligenhafen,54.3667,10.9833,34.0,93,75,2.3,DE,1619411371
hohhot,40.8106,111.6522,57.2,51,20,20.13,CN,1619411313
imeni poliny osipenko,52.4201,136.4853,53.74,28,76,7.56,RU,1619411422
iwanai,42.9744,140.5089,42.71,50,34,9.8,JP,1619411423
jamsa,61.8642,25.19,33.8,100,90,8.05,FI,1619411423
kampot,10.6167,104.1833,87.8,74,40,5.75,KH,1619411423
kanke,23.4333,85.3167,91.4,27,40,3.44,IN,1619411423
kaseda,31.4167,130.3167,69.8,26,75,5.75,JP,1619411424
katsuura,35.1333,140.3,64.99,25,20,17.27,JP,1619411424
kavieng,-2.5744,150.7967,84.13,67,92,4.32,PG,1619411424
kharp,66.8014,65.8081,33.49,99,100,7.2,RU,1619411424
khatanga,71.9667,102.5,17.24,84,99,17.25,RU,1619411424
khopoli,18.7833,73.3333,91.4,70,68,6.91,IN,1619411425
komsomolskiy,43.9783,46.6985,59.25,64,87,12.55,RU,1619411425
korla,41.7597,86.1469,58.12,15,62,5.95,CN,1619411425
kortkeros,61.8106,51.5806,39.2,81,75,11.18,RU,1619411425
krasnoselkup,65.7,82.4667,29.89,77,51,10.25,RU,1619411425
kula,38.5473,28.6498,47.03,90,87,6.6,TR,1619411425
kungurtug,50.5994,97.5228,33.04,64,100,9.17,RU,1619411426
kutum,14.2,24.6667,73.9,13,46,7.96,SD,1619411426
kyenjojo,0.6328,30.6214,61.83,95,98,0.89,UG,1619411426
leh,34.1667,77.5833,40.8,29,0,2.42,IN,1619411426
leningradskiy,69.3833,178.4167,27.95,89,79,1.48,RU,1619411426
leninskoye,47.9353,132.6242,59.83,21,49,7.99,RU,1619411426
limoux,42.9167,2.1667,55.4,67,0,11.5,FR,1619411426
lokosovo,61.1333,74.8167,45.1,67,89,13.65,RU,1619411426
lugus,5.7036,120.8203,83.1,71,42,6.55,PH,1619411427
meleuz,52.9667,55.9167,46.13,49,40,10.38,RU,1619411427
muravlenko,63.7898,74.523,34.54,99,99,15.59,RU,1619411427
nanjing,32.0617,118.7778,77.0,44,20,6.71,CN,1619411169
natitingou,10.3042,1.3796,78.8,78,0,4.61,BJ,1619411428
nemuro,43.3236,145.575,42.8,26,20,11.5,JP,1619411362
nikolskoye,59.7035,30.7861,39.0,87,90,13.42,RU,1619411428
ningbo,29.8782,121.5495,78.01,41,0,6.71,CN,1619411286
nizhniy mamon,50.1937,40.5083,46.96,49,100,5.57,RU,1619411429
novikovo,51.1537,37.8879,42.33,69,96,4.07,RU,1619411429
odweyne,9.4092,45.064,67.48,87,100,8.97,SO,1619411429
orsha,54.5153,30.4053,28.4,93,13,6.71,BY,1619411429
ostersund,63.1792,14.6357,28.0,74,0,6.91,SE,1619411429
pachora,20.6667,75.35,100.24,9,88,6.35,IN,1619411429
pala,9.3642,14.9046,79.92,50,100,5.41,TD,1619411430
parabel,58.6978,81.4825,45.28,79,100,8.61,RU,1619411430
patiya,22.2931,91.9762,89.6,70,40,9.22,BD,1619411430
pietarsaari,63.65,22.6833,32.0,86,90,18.41,FI,1619411430
podyuga,61.095,40.8647,39.34,96,100,3.98,RU,1619411430
puro,12.4841,123.3827,85.08,60,77,9.73,PH,1619411430
rayagada,19.1667,83.4167,102.07,22,46,2.39,IN,1619411482
riyadh,24.6877,46.7219,82.4,100,20,6.91,SA,1619411195
rovaniemi,66.5,25.7167,26.6,74,20,11.5,FI,1619411483
sabzevar,36.2126,57.6819,71.6,26,0,18.41,IR,1619411483
sakakah,29.9697,40.2064,73.4,25,0,6.91,SA,1619411483
salalah,17.0151,54.0924,84.2,70,40,2.3,OM,1619411484
saskylakh,71.9167,114.0833,14.41,89,100,20.69,RU,1619411484
seoul,37.5683,126.9778,69.8,45,75,3.44,KR,1619411244
shebunino,46.4339,141.8603,39.45,57,6,10.69,RU,1619411484
shingu,33.7333,135.9833,62.6,45,0,18.41,JP,1619411418
shostka,51.863,33.4698,36.93,58,100,2.37,UA,1619411484
shumskiy,54.8318,99.1328,42.98,59,99,14.83,RU,1619411485
si satchanalai,17.5169,99.7598,78.8,89,75,1.14,TH,1619411485
snasa,64.2457,12.3778,30.2,100,75,2.3,NO,1619411485
sobolevo,54.4299,31.8996,34.75,70,11,8.52,RU,1619411485
solnechnyy,50.7214,136.6319,52.81,32,75,4.14,RU,1619411485
srednekolymsk,67.45,153.6833,27.19,66,13,8.41,RU,1619411485
stolbishche,55.6468,49.216,39.2,60,0,20.13,RU,1619411485
suratgarh,29.3167,73.9,96.66,7,0,6.15,IN,1619411485
tabuk,28.3833,36.5833,66.2,27,0,4.61,SA,1619411486
tahta,26.7693,31.5021,75.2,17,0,11.5,EG,1619411486
takanabe,32.1333,131.5,64.4,45,75,11.5,JP,1619411486
talnakh,69.4865,88.3972,11.82,84,99,9.33,RU,1619411486
tateyama,34.9833,139.8667,60.8,25,20,17.27,JP,1619411486
tazovskiy,67.4667,78.7,26.42,91,100,14.65,RU,1619411487
tessalit,20.1986,1.0114,82.8,9,8,8.32,ML,1619411487
tilichiki,60.4667,166.1,31.69,97,100,5.57,RU,1619411487
tuyen quang,21.8233,105.2181,81.99,81,98,6.02,VN,1619411200
ugoofaaru,5.6667,73.0,83.64,70,5,2.48,MV,1619411488
